codigo_ibge,ano,n_ocorrencias,n_via_publica,n_periodo_conhecido,n_noturno
3538600,2026,206,77,60,29
3538709,2026,4283,2131,1412,709
3538808,2026,231,79,88,39
3538907,2026,195,50,46,17
3539004,2026,74,26,25,14
3539103,2026,168,87,51,27
3539202,2026,264,92,69,35
3539301,2026,707,407,198,110
3539400,2026,129,61,44,21
3539509,2026,241,139,81,48
3539608,2026,42,7,8,5
3539707,2026,13,5,2,2
3539806,2026,1391,1023,556,280
3539905,2026,32,14,15,5
3540002,2026,105,53,16,5
3540101,2026,31,12,8,6
3540200,2026,275,150,81,45
3540259,2026,32,15,12,6
3540309,2026,24,14,10,5
3540408,2026,32,10,20,7
3540507,2026,83,39,21,8
3540606,2026,530,308,160,72
3540705,2026,643,385,181,97
3540754,2026,159,68,56,28
3540804,2026,210,147,66,36
3540853,2026,17,3,1,1
3540903,2026,149,64,64,43
3541000,2026,7842,5905,3424,1651
3541059,2026,52,22,23,13
3541109,2026,23,10,6,3
3541208,2026,98,29,17,6
3541307,2026,455,289,90,44
3541406,2026,2757,1352,800,408
3541505,2026,346,162,76,44
3541604,2026,337,142,122,60
3541653,2026,29,10,15,8
3541703,2026,109,45,20,10
3541802,2026,32,10,7,2
3541901,2026,95,42,40,18
3542008,2026,30,5,13,5
3542107,2026,52,29,15,10
3542206,2026,336,146,75,47
3542305,2026,33,14,9,6
3542404,2026,189,76,47,28
3542503,2026,32,11,7,3
3542602,2026,609,260,191,88
3542701,2026,84,31,28,15
3542800,2026,16,5,10,2
3542909,2026,101,43,33,15
3543006,2026,104,37,62,30
3543105,2026,56,30,29,12
3543204,2026,27,9,10,6
3543238,2026,5,3,0,0
3543253,2026,23,14,13,5
3543303,2026,889,632,321,152
3543402,2026,9280,6872,3347,1758
3543501,2026,52,21,13,11
3543600,2026,65,34,16,8
3543709,2026,81,46,23,12
3543808,2026,49,12,16,9
3543907,2026,2322,1249,682,325
3544004,2026,230,89,66,40
3544103,2026,380,236,110,50
3544202,2026,85,26,22,10
3544251,2026,174,55,56,31
3544301,2026,106,46,37,20
3544400,2026,13,5,5,2
3544509,2026,29,11,7,4
3544608,2026,45,11,21,9
3544707,2026,9,3,3,2
3544806,2026,69,31,26,10
3544905,2026,106,47,23,10
3545001,2026,109,51,49,27
3545100,2026,20,10,5,3
3545159,2026,49,20,11,5
3545209,2026,1009,509,488,252
3545308,2026,347,161,146,66
3545407,2026,96,44,38,23
3545506,2026,27,5,6,3
3545605,2026,109,54,30,14
3545704,2026,41,13,13,3
3545803,2026,1684,1063,497,245
3546009,2026,131,70,50,34
3546108,2026,25,5,7,3
3546207,2026,33,13,6,3
3546256,2026,20,14,4,2
3546306,2026,203,121,76,41
3546405,2026,543,251,153,77
3546504,2026,40,16,11,6
3546603,2026,401,190,104,54
3546702,2026,175,74,55,26
3546801,2026,463,269,147,71
3546900,2026,50,23,21,7
3547007,2026,34,16,8,5
3547106,2026,20,9,3,3
3547205,2026,13,2,5,4
3547304,2026,1164,725,481,191
3547403,2026,6,3,2,2
3547502,2026,208,98,64,35
3547601,2026,215,112,63,30
3547650,2026,12,3,6,2
3547700,2026,121,57,28,20
3547809,2026,11745,9729,4601,2327
3547908,2026,69,26,23,12
3548005,2026,247,145,100,34
3548054,2026,84,29,45,25
3548104,2026,40,17,9,7
3548203,2026,47,25,21,14
3548302,2026,30,9,15,9
3548401,2026,39,12,11,6
3548500,2026,6175,4588,2472,1165
3548609,2026,43,28,19,8
3548708,2026,10178,8161,3717,1796
3548807,2026,1480,1155,618,260
3548906,2026,2774,1745,1040,582
3549003,2026,16,8,5,3
3549102,2026,1030,574,299,165
3549201,2026,12,4,1,1
3549250,2026,14,2,4,1
3549300,2026,7,2,5,1
3549409,2026,964,698,179,93
3549508,2026,117,64,20,14
3549607,2026,29,11,11,6
3549706,2026,502,368,129,78
3549805,2026,8003,4949,2987,1546
3549904,2026,6295,4356,2568,1324
3549953,2026,134,80,62,28
3550001,2026,68,24,15,9
3550100,2026,417,194,88,42
3550209,2026,250,137,106,51
3550308,2026,260355,212220,111766,51557
3550407,2026,308,151,111,58
3550506,2026,55,21,16,7
3550605,2026,737,357,237,120
3550704,2026,1294,764,605,304
3550803,2026,92,27,32,16
3550902,2026,149,68,46,28
3551009,2026,4838,3828,2035,985
3551108,2026,109,35,24,12
3551207,2026,27,12,3,2
3551306,2026,9,1,5,2
3551405,2026,129,43,29,12
3551504,2026,400,218,122,67
3551603,2026,259,119,66,28
3551702,2026,1280,828,401,223
3551801,2026,110,34,36,16
3551900,2026,126,56,45,25
3552007,2026,36,17,17,8
3552106,2026,287,108,87,39
3552205,2026,9320,5357,3946,2141
3552304,2026,49,17,26,12
3552403,2026,2968,1979,1068,521
3552502,2026,3677,2588,1373,629
3552551,2026,25,9,4,0
3552601,2026,82,29,26,16
3552700,2026,176,52,113,51
3552809,2026,3352,2528,1188,622
3552908,2026,44,12,14,7
3553005,2026,65,18,11,5
3553104,2026,38,8,9,5
3553203,2026,26,9,5,1
3553302,2026,242,101,50,18
3553401,2026,265,106,64,35
3553500,2026,66,22,16,4
3553609,2026,83,34,31,16
3553658,2026,16,4,7,6
3553708,2026,602,307,203,112
3553807,2026,244,83,68,41
3553856,2026,39,7,11,7
3553906,2026,41,14,12,3
3553955,2026,92,24,17,6
3554003,2026,1181,736,386,188
3554102,2026,3367,2352,1294,679
3554201,2026,28,10,6,2
3554300,2026,329,112,96,48
3554409,2026,63,28,22,9
3554508,2026,281,130,96,57
3554607,2026,11,4,3,3
3554656,2026,13,7,3,3
3554706,2026,90,38,25,16
3554755,2026,5,2,2,1
3554805,2026,410,182,147,62
3554904,2026,64,24,11,5
3554953,2026,59,26,27,17
3555000,2026,734,354,172,88
3555109,2026,133,45,27,10
3555208,2026,14,6,9,6
3555307,2026,15,4,3,2
3555356,2026,54,19,12,8
3555406,2026,1613,1089,867,349
3555505,2026,42,9,25,11
3555604,2026,85,27,24,7
3555703,2026,11,6,2,0
3555802,2026,83,47,26,12
3555901,2026,12,3,2,1
3556008,2026,101,29,36,26
3556107,2026,113,53,22,11
3556206,2026,1159,732,378,156
3556305,2026,240,70,70,31
3556354,2026,84,37,33,14
3556404,2026,447,230,107,63
3556453,2026,412,260,126,67
3556503,2026,1036,637,316,156
3556602,2026,81,29,31,17
3556701,2026,670,397,277,113
3556800,2026,122,53,34,18
3556909,2026,40,13,7,5
3556958,2026,15,8,3,0
3557006,2026,1061,602,419,212
3557105,2026,1168,671,269,134
3557154,2026,16,4,3,3
3557204,2026,166,67,44,25
3557303,2026,163,100,54,28
