codigo_ibge,municipio,taxa_cvli,taxa_estupro_total,taxa_furto_outros,taxa_furto_veiculo,taxa_lesao_dolosa,taxa_roubo_outros,taxa_roubo_veiculo,taxa_tentativa_homicidio,taxa_trafico,pib_percapita,prop_esgoto_adequado,prop_lixo_coletado,renda_domiciliar_mediana,taxa_alfabetizacao,taxa_urbanizacao,i_amb_ord,i_cidade_ord,i_educ_ord,i_fiscal_ord,i_gov_ti_ord,i_planejamento_ord,i_saude_ord
3502705,Apiaí,0.17901134539768274,0.44418157276023434,-0.16248361737267486,0.029754231134612848,-0.03433984353446236,-0.09905154644195725,-0.06744124599772897,-0.05744859868887249,0.11911800127401986,0.03978540230711504,-0.833932768389538,-0.3024684012906903,-0.6924421162444957,-0.1864703121897036,-0.25214627924160726,-0.27969609079756,-0.2922062152160345,-0.02863532087666403,0.29831703052621333,0.010461568539080387,-0.19516544429171995,0.1346219032838301
3502754,Araçariguama,0.2142882547815091,0.3707776275529227,0.1940365072150743,0.16755910034308355,-0.1919090883875587,0.30323492132184726,0.4658789776458868,0.32735650863895616,0.056004264082120205,1.1481259334089873,-0.3911973828544099,-0.034232354809076646,-0.14119042800682668,0.01809563401385523,0.04036146025493153,-0.27969609079756,-0.031012124672937343,-0.3639535866157418,-0.8625071375929104,0.12088765306212759,-0.19516544429171995,-0.592333614639263
3502804,Araçatuba,0.39845969599906494,-0.1102582601515002,0.4477898938408991,0.17701130717170604,0.07956581224593595,0.17849644363401157,-0.0354423515691845,0.23316387934538532,0.21394173711447162,0.11840441049892837,0.3294089794011475,0.31597140656448963,0.4214931136390819,0.5673107287125391,0.37130221139820885,0.8696693775784194,-0.16162875852184783,0.9772691811154695,0.10486568290916139,0.5626582534312581,-0.19516544429171995,0.1346219032838301
3502903,Araçoiaba da Serra,-0.025347194880530683,0.11780232822814199,0.009715563362567492,0.2483942799677426,-0.1987140408460894,0.17694491985574648,0.2523123245953267,-0.15145261442250696,-0.017717954055140477,-0.02963093141519748,-0.4306438313648975,0.30158174123128234,0.3177925977337389,0.4805925558653783,0.07410593571951979,-0.27969609079756,0.6219143359527198,-0.02863532087666403,0.10486568290916139,0.5626582534312581,-0.19516544429171995,-0.04714423566589192
3503000,Aramina,0.0935238925118681,-0.24800624391347698,0.19766674594220468,-0.05694774093722008,0.21993005087915685,0.25553860591502914,0.006009540285270135,0.13596239723427556,-0.02674104894562743,-0.12848646190404753,0.22560355716159108,0.20941942186301207,0.12520521268149487,0.04700169162957444,0.2676193508284102,-0.27969609079756,-0.16162875852184783,-0.02863532087666403,-0.4755464011504005,-0.32084981616853203,-0.19516544429171995,0.4980451433074793
3503109,Arandu,0.22874632101282558,0.24288644290974715,-0.6065838886142001,-0.2804420757943112,-0.040736490791215135,-0.3203664957026667,-0.4186188692697648,-0.16547300693521927,-0.17485053220043403,-0.3176264369794459,0.05430645418862878,0.15181550266502394,-0.26899278690399697,-0.2620707705692803,-0.17236656236484985,-0.11551509795064197,-0.031012124672937343,-0.02863532087666403,0.10486568290916139,-0.21042373164548486,0.5271739336475457,-0.592333614639263
3503158,Arapeí,-0.5713052777266532,0.04735781193177038,-0.3164240143167044,-0.07599609498321437,0.4145171501695391,-0.10727213356700382,-0.4186188692697648,-0.803595461116235,-0.034606683532215514,-0.5497028066196967,-0.008133480258716755,0.07543411644593764,-0.8269110976132129,-0.25095305610169627,-0.5922708215877006,-0.27969609079756,-0.2922062152160345,-0.02863532087666403,-0.4755464011504005,-0.21042373164548486,0.5271739336475457,-0.04714423566589192
3503208,Araraquara,0.017350860016738807,-0.20877320882030448,0.5178128224961283,0.3218076965381343,-0.14690461814741046,0.23388704139767375,0.1423445517538052,0.0020932982893013467,0.09223446047569657,0.15903581556927315,0.34912055953465115,0.3349457112267588,0.43367841479569297,0.6162286723699115,0.37744007262345153,1.0338996296491139,0.230142788715436,-0.02863532087666403,-0.6690557899758586,0.23134686872364563,-0.19516544429171995,-0.41056747568954105
3503307,Araras,0.19152342007170364,-0.24253585965438856,0.2886308657608411,0.48756074676094163,0.05927163737515033,0.30551165358486204,0.6199734455064821,-0.015390997049632198,0.24870767346578648,0.33937129607481265,0.3097759170884396,0.3255193604604728,0.4214931136390819,0.43612169799503897,0.3309605981511261,-0.27969609079756,0.09956533202124931,-0.02863532087666403,-0.6690557899758586,0.6730843379543053,-0.19516544429171995,-0.22885585567771652
3503356,Arco-Íris,-0.5713052777266532,-0.4590736921795953,-0.25212261126249835,-0.039356753183385884,-0.07263315255866701,-0.08226363727840533,-0.4186188692697648,0.23196522249297682,-0.16990072121975447,0.24602123274037746,0.34647372796734865,-1.2347114706998636,-0.2952818188238797,-0.5266723748977956,-0.7114296587510349,0.3770771398138887,0.36075942256434645,-0.02863532087666403,0.4917683781432653,0.010461568539080387,-0.19516544429171995,-0.04714423566589192
3503406,Arealva,0.17957224366259975,0.11539110458256907,0.16691044595863194,0.030315470207229887,0.18731506154389357,-0.03447589205907434,0.0609688834212811,-0.803595461116235,0.11546530179518069,-0.19351036969952962,-0.07731021449434211,-0.23094795173358243,0.18203575932921887,0.29826203859698763,-0.24930047519561788,-0.27969609079756,-0.2922062152160345,0.3066829448624137,0.10486568290916139,-0.32084981616853203,-0.19516544429171995,0.3163335232956547
3503505,Areias,0.4392565996005469,0.18564092387180015,-0.04257209062108561,-0.20441952516006484,0.6221719189263522,-0.05327739023905756,0.08687634438601038,0.7727626600060804,0.17482182675968921,-0.615630893075266,-0.42732547129556375,-0.054577397649668395,-0.7960929708801162,-0.19314094087025468,-0.28359971116457394,-0.27969609079756,-0.2922062152160345,-0.5315875718727309,-0.4755464011504005,-0.32084981616853203,-0.19516544429171995,-0.04714423566589192
3503604,Areiópolis,0.11546432987361649,0.12015861515521788,-0.11192990859165106,-0.6763296523279536,-0.23472826972259533,-0.07891305577914311,0.02002296424276374,0.40135743172547633,0.15087203689384393,-0.58326443526524,0.2843406595792322,0.2391058707057475,-0.09168752867336635,-0.25095305610169627,0.3535204404009653,0.3770771398138887,0.230142788715436,0.3066829448624137,0.10486568290916139,0.12088765306212759,-0.19516544429171995,0.3163335232956547
3503703,Ariranha,0.20354927114930282,0.005292922380133487,-0.1466640604368356,0.21630708716009908,-0.07828069846765315,-0.20474230754984182,0.2156762754725298,0.2616174046747676,0.055024670788231256,0.9331174514569944,0.2565280087544543,0.26516362685858574,0.21002756137220185,-0.11754048249068114,0.32335572065787715,-0.11551509795064197,-0.2922062152160345,0.3066829448624137,-0.28209505353334857,-0.32084981616853203,1.4902690262539684,0.3163335232956547
3503802,Artur Nogueira,0.1330972890298955,-0.04318191143719348,0.11927628451422258,0.417507029581793,0.008309530167003847,0.22185508023515835,0.37328327143968926,-0.07828818479965785,0.42327257896592363,-0.10938207153488164,0.1907388440416611,0.2819974845301055,0.18203575932921887,0.12482569290266605,0.22362276547696594,0.5413073918845833,0.230142788715436,0.6419509153763917,0.10486568290916139,-0.32084981616853203,-0.19516544429171995,0.1346219032838301
3503901,Arujá,0.06978881113505274,-0.051099141554263414,0.17196893894367343,0.4414091475180685,0.007275910860688102,0.5064281394671928,0.6738006150813667,-0.024977807376202046,-0.26595503223564565,0.6750097316301166,0.0971017559002789,0.32759220915529497,0.11156975435542768,0.3560741538284292,0.3305808096175838,0.048715154120052624,0.36075942256434645,-0.02863532087666403,-0.08864370591629663,0.3417729532466929,-0.19516544429171995,0.1346219032838301
