codigo_ibge,municipio,populacao,ano_populacao,ano_pib,pib_percapita,taxa_urbanizacao,taxa_cvli,taxa_tentativa_homicidio,taxa_lesao_dolosa,taxa_roubo_outros,taxa_roubo_veiculo,taxa_roubo_carga,taxa_furto_outros,taxa_furto_veiculo,taxa_estupro_total,taxa_trafico,total_ocorrencias_janela,n_ocorrencias,prop_via_publica,prop_noturno,cobertura_periodo,taxa_recuperacao_veiculo,prop_veiculo_motocicleta,prop_celular_em_furto_roubo,iegm_conceito,i_planejamento_conceito,i_fiscal_conceito,i_educ_conceito,i_saude_conceito,i_amb_conceito,i_cidade_conceito,i_gov_ti_conceito,iegm_ord,i_planejamento_ord,i_fiscal_ord,i_educ_ord,i_saude_ord,i_amb_ord,i_cidade_ord,i_gov_ti_ord,iegm_exercicio_ref,iegm_ano_apuracao,flag_sem_iegm,flag_pop_pequena,flag_capital,janela_anos,exposicao_anos,ano_populacao_ref
3544301,Roseira,11095,2024,2023,40587.11131140153,93.30686853766618,18.026137899954936,27.0392068499324,426.6185969656001,72.10455159981974,24.034850533273246,3.004356316659156,790.145711281358,33.04791948325071,12.017425266636623,105.15247108307045,503,578,0.41695501730103807,0.58,0.17301038062283736,1.1470588235294117,0.5,0.16089965397923875,C+,C,B,C+,B,C,C,C,1.3333,1.0,3.0,1.3333,2.6667,1.0,1.0,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3544400,Rubiácea,2741,2024,2023,32352.790952207222,88.74074074074075,12.161011796181443,0.0,389.15237747780617,12.161011796181443,0.0,0.0,449.9574364587134,12.161011796181443,0.0,24.322023592362886,74,81,0.25925925925925924,0.6190476190476191,0.25925925925925924,,,0.08641975308641975,C,C,B,C,C+,C,C,C,1.0,1.3333,3.0,1.0,2.0,1.0,1.0,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3544509,Rubinéia,3965,2024,2023,49528.877679697354,89.35559613879468,8.406893652795292,8.406893652795292,479.19293820933166,8.406893652795292,0.0,0.0,496.0067255149222,33.62757461118117,42.034468263976464,50.441361916771754,134,179,0.329608938547486,0.5652173913043478,0.12849162011173185,0.0,0.6666666666666666,0.09497206703910614,C,C,C,C,B,C,C,C,1.0,1.0,1.6667,1.0,2.6667,1.0,1.3333,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3544608,Sabino,5185,2024,2023,35337.51205400193,89.94522691705791,6.428801028608165,25.71520411443266,745.7409193185471,51.43040822886532,0.0,0.0,1427.1938283510124,19.286403085824496,77.14561234329798,70.7168113146898,377,400,0.1875,0.7037037037037037,0.3375,6.5,1.0,0.1775,C+,C,B,B,B,C+,C+,C,1.3333,1.0,3.0,2.0,1.6667,2.3333,3.0,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3544707,Sagres,2519,2024,2023,28830.885271933308,79.3856103476152,0.0,13.232764324467382,516.0778086542279,0.0,0.0,0.0,198.4914648670107,0.0,13.232764324467382,13.232764324467382,57,76,0.3815789473684211,0.6666666666666666,0.11842105263157894,,,0.013157894736842105,B,C,B,B,B,C+,B,B,3.0,1.6667,3.0,3.0,3.0,2.3333,2.6667,1.6667,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3544806,Sales,6612,2024,2023,40265.27525710829,92.76060276526331,10.08267795926598,5.04133897963299,640.2500504133898,15.124016938898972,0.0,0.0,675.5394232708207,55.45472877596289,60.49606775559589,277.2736438798145,345,416,0.30288461538461536,0.589041095890411,0.17548076923076922,7.5,0.0,0.04326923076923077,C,C,C,C+,B,C,C,C,1.6667,1.3333,2.6667,2.3333,3.0,1.0,1.0,1.0,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3544905,Sales Oliveira,11654,2024,2023,45431.95469366741,94.8120234861099,5.720496539099594,2.860248269549797,308.9068131113781,22.881986156398376,45.76397231279675,11.440993078199188,640.6956123791545,37.18322750414736,34.32297923459756,88.6676963560437,419,534,0.4101123595505618,0.559322033898305,0.1104868913857678,1.2456140350877194,0.05263157894736842,0.15730337078651685,C,C,C+,B,B,C+,C,C,1.0,1.0,2.3333,2.3333,2.6667,1.3333,1.0,1.3333,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3545001,Salesópolis,15396,2024,2023,20199.07768251494,64.13629785554532,12.990387113535984,6.495193556767992,424.3526457088421,49.79648393522127,10.825322594613318,0.0,707.9760976877111,28.145838745994627,45.46635489737594,19.485580670303975,603,690,0.4260869565217391,0.573170731707317,0.3565217391304348,1.1578947368421053,0.2631578947368421,0.11014492753623188,C,C,B,C,C,C,C,C+,1.0,1.0,3.3333,1.0,1.0,1.3333,1.0,1.3333,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
3545100,Salmourão,4883,2024,2023,23515.052221994676,91.84692179700498,0.0,20.479213598197827,471.0219127585501,13.65280906546522,0.0,0.0,314.01460850570004,6.82640453273261,47.784831729128264,61.437640794593484,137,193,0.41450777202072536,0.5,0.09326424870466321,,,0.06735751295336788,C+,C+,C+,C+,B,C,C,C,1.6667,2.0,2.6667,2.0,2.3333,1.3333,1.0,1.0,2022-2024,2023-2025,False,True,False,2023-2025,3.0,2024
3545159,Saltinho,8371,2024,2023,56306.53446422172,89.59686312951844,3.98200135388046,3.98200135388046,242.9020825867081,23.89200812328276,39.8200135388046,11.94600406164138,573.4081949587862,47.78401624656552,19.9100067694023,15.92800541552184,247,287,0.2578397212543554,0.7076923076923077,0.2264808362369338,1.7777777777777777,0.044444444444444446,0.13937282229965156,B+,A,B+,B+,B+,B,B,B+,3.0,3.3333,3.3333,3.6667,3.6667,2.3333,2.0,3.3333,2022-2024,2023-2025,False,False,False,2023-2025,3.0,2024
