codigo_ibge,ano,veic_furtado,veic_roubado,veic_localizado,veic_subtraido,veic_moto,cel_furto,cel_roubo
3508702,2024,5,1,12,6,5,13,1
3508702,2025,9,6,14,15,7,12,9
3508801,2023,7,2,35,9,7,10,30
3508801,2024,5,1,8,6,3,3,3
3508801,2025,3,0,18,3,2,15,3
3508900,2023,0,0,0,0,0,1,1
3508900,2024,0,0,0,0,0,2,0
3509007,2023,97,90,252,187,61,146,288
3509007,2024,62,83,200,145,51,357,157
3509007,2025,33,82,215,115,63,80,150
3509106,2023,2,0,6,2,1,1,0
3509106,2024,0,0,3,0,0,2,0
3509205,2023,90,63,337,153,42,386,237
3509205,2024,93,130,256,223,102,255,207
3509205,2025,79,70,215,149,65,321,145
3509254,2023,18,8,30,26,18,72,24
3509254,2024,11,22,25,33,9,50,30
3509254,2025,16,7,13,23,12,48,27
3509304,2023,2,1,3,3,1,11,3
3509304,2024,3,0,18,3,1,27,1
3509304,2025,2,2,2,4,0,11,0
3509403,2023,11,5,24,16,3,31,19
3509403,2024,10,2,18,12,4,31,10
3509403,2025,15,5,29,20,7,28,19
3509452,2023,0,3,4,3,0,7,4
3509452,2024,3,1,11,4,4,7,1
3509452,2025,7,0,2,7,7,11,0
3509502,2023,3337,1768,4736,5105,1764,4518,5209
3509502,2024,3268,1294,3807,4562,1598,4417,3515
3509502,2025,3623,1268,4152,4891,1783,3769,3214
3509601,2023,126,107,375,233,91,111,252
3509601,2024,92,58,258,150,66,123,159
3509601,2025,86,50,262,136,57,104,149
3509700,2023,30,2,64,32,19,113,77
3509700,2024,23,5,36,28,6,145,28
3509700,2025,28,3,40,31,8,106,29
3509809,2023,0,3,3,3,0,9,2
3509809,2024,1,1,0,2,1,3,1
3509809,2025,0,0,0,0,0,1,0
3509908,2023,1,0,5,1,0,40,11
3509908,2024,3,0,4,3,1,24,3
3509908,2025,0,0,8,0,0,15,3
3509957,2023,1,2,22,3,1,1,23
3509957,2024,3,1,17,4,1,16,36
3509957,2025,2,6,6,8,7,4,14
3510005,2023,17,0,72,17,5,59,4
3510005,2024,7,3,33,10,2,52,7
3510005,2025,8,0,50,8,4,37,2
3510104,2023,0,0,8,0,0,0,0
3510104,2024,1,0,2,1,0,1,1
3510153,2023,4,0,13,4,0,11,0
3510153,2024,0,0,0,0,0,11,2
3510153,2025,1,0,0,1,0,3,0
3510203,2023,9,1,35,10,6,94,59
3510203,2024,15,1,53,16,9,58,26
3510203,2025,14,0,21,14,3,48,9
3510302,2023,10,3,22,13,4,32,7
3510302,2024,16,1,40,17,8,24,137
3510302,2025,22,4,15,26,11,25,2
3510401,2023,37,16,186,53,18,70,28
3510401,2024,34,9,102,43,24,65,13
3510401,2025,18,34,42,52,3,60,17
3510500,2023,111,19,261,130,70,415,313
3510500,2024,84,26,175,110,54,438,274
3510500,2025,85,18,402,103,62,383,218
3510609,2023,1004,278,2544,1282,700,760,2466
3510609,2024,864,359,2689,1223,781,652,2178
3510609,2025,748,307,1727,1055,551,648,1705
3510708,2023,6,0,6,6,3,20,1
3510708,2024,5,0,6,5,1,16,0
3510708,2025,3,3,4,6,0,17,0
3510807,2023,20,7,24,27,9,41,14
3510807,2024,14,13,39,27,8,58,6
3510807,2025,11,6,14,17,3,32,18
3510906,2023,1,0,0,1,0,1,0
3510906,2024,2,0,0,2,0,3,0
3510906,2025,0,0,0,0,0,2,0
3511003,2023,4,1,25,5,4,27,1
3511003,2024,4,0,11,4,1,30,2
3511003,2025,9,0,9,9,8,19,1
3511102,2023,73,4,187,77,48,197,25
3511102,2024,60,8,213,68,34,183,37
3511102,2025,58,0,240,58,27,186,27
3511201,2023,0,0,21,0,0,7,0
3511201,2024,0,2,14,2,1,6,1
3511201,2025,1,3,4,4,0,0,2
3511300,2023,4,0,21,4,2,26,0
3511300,2024,1,0,8,1,1,10,0
3511300,2025,5,0,10,5,3,19,0
3511409,2023,8,1,19,9,5,27,1
3511409,2024,6,0,8,6,2,31,1
